,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1441,7,10,0,0,0,8,11,0,9,0,0,0,0,15,12,0,10,-3,-1,-3,0,14,11,3,7,1,0,-3,0,13,12,3,7,0,0,-3,0,7,7,3,7,4,-1,-3,0,11,6,3,7,1,-1,-3,0,6,8,3,8,-4,-1,-3,0,13,9,3
1442,11,8,0,1,0,13,9,0,13,4,0,2,0,14,8,0,13,2,0,-1,0,9,7,3,12,3,0,-2,0,10,5,3,12,3,0,-2,0,12,5,3,11,4,0,-2,0,12,6,3,12,8,0,-2,0,10,6,3,11,4,0,-2,0,12,5,3
1443,14,11,0,3,0,8,12,0,15,2,0,2,0,9,12,0,14,5,0,1,0,10,9,3,15,2,0,2,0,11,7,3,14,3,0,2,0,7,6,3,11,4,0,0,0,4,7,3,12,6,0,0,0,10,7,3,12,5,0,0,0,4,7,3
1444,13,2,1,1,0,15,15,0,13,1,1,1,0,14,15,0,12,1,0,-2,0,12,10,3,10,7,0,-2,0,15,14,3,10,6,0,-2,0,11,14,3,10,7,0,-2,0,8,11,3,10,6,0,-2,0,12,11,3,10,7,0,-2,0,11,9,3
1445,9,2,0,0,0,1,4,0,7,8,0,0,0,8,3,0,7,6,0,-3,0,7,0,3,8,5,-1,-3,0,1,0,3,7,0,-1,-3,0,5,-1,3,7,3,-1,-3,0,5,-1,3,10,-2,-1,-3,0,-1,0,3,7,0,-1,-3,0,8,2,3
1446,13,8,1,1,0,10,13,0,15,5,1,1,0,11,14,0,13,6,1,-2,0,9,13,3,16,2,-1,-2,0,11,10,3,13,5,0,-2,0,10,8,3,14,8,-1,-2,0,9,11,3,16,2,0,-2,0,10,8,3,13,5,0,-2,0,12,11,3
1447,12,4,0,3,0,10,19,0,12,10,0,2,0,6,12,0,13,1,0,-1,0,3,9,3,9,3,0,-2,0,1,6,3,9,4,0,-2,0,6,6,3,10,4,0,-2,0,2,6,3,10,5,0,-2,0,2,6,3,9,3,0,-2,0,1,7,3
1448,12,5,0,3,0,5,9,0,13,7,0,2,0,6,9,0,12,4,0,0,0,8,6,3,11,5,0,-1,0,4,6,3,11,5,0,-1,0,4,3,3,10,6,0,-1,0,3,3,3,10,5,0,-2,0,4,3,3,10,6,0,-2,0,3,3,3
1449,12,9,0,2,0,14,9,0,12,9,0,2,0,10,5,0,13,0,0,0,0,10,7,3,12,-1,0,-1,0,9,5,3,9,2,0,-2,0,11,4,3,9,2,0,-2,0,9,5,3,9,2,0,-2,0,11,4,3,9,2,0,-2,0,7,4,3
1450,12,-1,0,1,0,10,10,0,11,3,0,2,0,1,7,0,12,2,0,-1,0,2,6,3,10,7,0,-2,0,3,3,3,10,8,0,-2,0,6,4,3,10,7,0,-2,0,6,5,3,10,7,0,-2,0,4,5,3,11,7,0,-2,0,3,3,3
1451,10,4,0,1,0,6,4,0,8,4,0,1,0,4,2,0,8,1,0,-2,0,3,-1,3,10,1,0,-2,0,4,1,3,8,4,-1,-2,0,3,1,3,8,5,-1,-2,0,1,1,3,8,4,-1,-2,0,0,-1,3,8,5,-1,-2,0,-1,0,3
1452,9,9,0,1,0,2,14,0,9,10,0,1,0,3,1,3,9,1,0,-1,0,2,-3,3,9,-1,0,-2,0,3,1,3,6,3,0,-3,0,1,-3,3,7,3,0,-3,0,3,-1,3,6,3,0,-3,0,-3,-3,3,7,3,0,-3,0,-2,-2,3
1453,10,4,0,1,0,9,13,0,10,10,0,1,0,11,14,0,8,5,0,-2,0,6,10,3,9,4,0,-2,0,7,7,3,8,5,-1,-2,0,8,8,3,8,4,-1,-2,0,7,7,3,8,5,-1,-2,0,7,7,3,8,4,-1,-2,0,7,7,3
1454,9,2,0,2,0,3,3,0,9,2,0,2,0,5,4,0,10,0,0,0,0,2,1,3,9,-1,0,-1,0,-5,-3,3,7,3,0,-2,0,1,-1,3,7,4,0,-2,0,-2,-3,3,10,-2,0,-1,0,1,-1,3,8,1,0,-2,0,-2,-3,3
1455,10,1,0,2,0,7,10,0,9,10,0,1,0,10,7,0,10,6,0,-2,0,11,8,3,9,1,0,-2,0,8,3,3,6,2,0,-3,0,2,4,3,8,5,0,-3,0,11,6,3,9,-1,0,-2,0,4,4,3,8,5,0,-3,0,4,4,3
1456,13,5,0,1,0,16,9,0,15,4,0,3,0,17,9,0,13,3,0,-1,0,14,6,3,13,2,0,-2,0,11,1,3,14,4,0,-2,0,11,2,3,16,-2,0,-1,0,13,4,3,13,6,0,-2,0,14,4,3,13,2,0,-2,0,11,1,3
1457,13,8,0,2,0,14,11,0,14,6,0,2,0,12,8,3,12,5,0,-1,0,12,9,3,15,2,0,-1,0,7,5,3,12,8,0,-2,0,11,6,3,15,2,0,-1,0,8,5,3,12,8,0,-2,0,11,6,3,15,2,0,-1,0,11,7,3
1458,10,9,0,2,0,8,11,0,8,7,0,2,0,9,11,0,11,2,-1,-1,0,6,6,3,8,3,-1,-1,0,6,5,3,8,4,-1,-1,0,3,4,3,8,3,-1,-1,0,2,4,3,8,4,-1,-1,0,3,4,3,8,3,-1,-1,0,4,6,3
1459,9,0,0,3,0,10,8,0,8,0,0,2,0,9,5,3,8,5,0,0,0,8,3,3,11,-4,0,0,0,8,3,3,11,-4,0,0,0,7,5,3,8,0,0,-1,0,8,3,3,8,0,0,-1,0,7,5,3,11,-3,0,0,0,8,3,3
1460,12,9,0,1,0,-1,14,0,12,3,0,1,0,2,1,0,11,3,-1,-2,0,2,1,3,10,4,-1,-2,0,0,-3,3,10,3,-1,-2,0,1,-3,3,10,4,-1,-2,0,-1,-3,3,10,3,-1,-2,0,-2,-3,3,10,4,-1,-2,0,-1,-3,3
1461,7,4,0,0,0,10,10,0,7,4,0,0,0,10,8,0,10,-1,0,-3,0,8,6,3,9,-3,0,-3,0,13,6,3,8,-4,-1,-3,0,10,3,3,8,-1,-1,-3,0,9,1,3,8,-1,-1,-3,0,11,4,3,8,-4,-1,-3,0,6,3,3
1462,8,7,0,0,0,9,9,0,8,11,0,0,0,10,9,0,8,4,0,-3,0,8,8,3,8,3,-1,-3,0,3,8,3,9,2,-2,-3,0,8,9,3,9,0,-1,-3,0,7,6,3,9,-1,-1,-3,0,4,5,3,8,3,-1,-3,0,7,6,3
1463,15,8,0,2,0,5,7,0,15,8,0,2,0,6,3,0,13,11,0,-1,0,8,5,3,13,10,0,-2,0,8,5,3,13,9,0,-2,0,7,5,3,13,10,0,-2,0,4,4,3,13,9,0,-2,0,7,2,3,14,7,0,-2,0,3,1,3
1464,10,3,0,2,0,8,8,0,10,3,0,2,0,14,9,0,10,1,0,-1,0,7,5,3,11,0,-1,-1,0,7,5,3,11,0,0,-1,0,5,2,3,10,-1,-1,-1,0,10,2,3,8,3,-1,-1,0,5,2,3,8,3,-1,-1,0,10,2,3
1465,15,11,0,2,0,2,3,0,16,5,0,3,0,7,4,0,14,7,0,-1,0,6,2,3,13,11,0,-2,0,5,-3,3,13,10,0,-2,0,-1,-3,3,15,6,0,-1,0,-1,-3,3,13,10,0,-2,0,-1,-3,3,15,6,0,-1,0,-1,-3,3
1466,9,12,-1,0,0,7,10,0,10,8,0,0,0,8,10,0,10,6,-1,-3,0,11,8,3,10,3,-2,-3,0,12,8,3,10,3,-1,-3,0,8,3,3,9,4,-1,-3,0,3,4,3,9,8,-1,-3,0,8,4,3,9,9,-1,-3,0,3,4,3
1467,8,10,0,2,0,10,9,0,10,1,0,2,0,7,9,0,9,6,0,-2,0,5,7,3,8,4,0,-2,0,3,4,3,8,4,0,-2,0,5,5,3,8,4,0,-2,0,6,3,3,9,6,0,-2,0,5,5,3,9,6,0,-2,0,6,3,3
1468,14,9,0,2,0,18,13,0,15,0,0,1,0,17,13,0,14,8,0,-1,0,15,11,3,13,5,0,-1,0,12,6,3,14,2,0,-2,0,13,7,3,14,1,0,-2,0,13,7,3,14,2,0,-2,0,13,7,3,14,1,0,-2,0,13,7,3
1469,13,11,0,2,0,4,11,0,13,8,0,1,0,11,12,0,15,2,0,-1,0,8,9,3,15,0,0,-1,0,0,5,3,13,9,0,-1,0,5,4,3,14,8,0,-1,0,5,4,3,14,0,0,-2,0,1,5,3,14,2,0,-2,0,0,5,3
1470,7,7,0,0,0,4,3,0,7,10,0,0,0,0,2,0,23,3,-2,-2,0,-4,-1,3,8,-1,-2,-3,0,-1,0,3,8,1,-2,-3,0,-1,-1,3,7,2,-2,-3,0,-3,-1,3,7,6,-2,-3,0,1,0,3,7,7,-2,-3,0,-1,0,3
1471,11,6,0,1,0,4,3,0,11,7,0,1,0,4,4,0,13,0,0,-2,0,1,1,3,12,1,-2,-2,0,-2,-2,3,12,-1,-1,-2,0,-2,-3,3,12,-2,-1,-2,0,-5,-3,3,11,2,-1,-2,0,0,-2,3,11,6,-1,-2,0,1,-3,3
1472,9,0,1,2,0,10,12,0,8,6,0,1,0,11,6,0,11,6,0,-2,0,11,6,3,10,1,0,-1,0,10,3,3,7,2,0,-3,0,9,3,3,8,4,0,-3,0,10,4,3,8,3,0,-3,0,7,3,3,11,0,0,-2,0,8,3,3
1473,13,4,0,3,0,11,12,0,12,7,0,3,0,11,8,0,11,6,0,-1,0,13,11,3,13,4,0,-1,0,10,8,3,10,6,0,-2,0,10,7,3,11,8,0,-2,0,8,7,3,12,2,0,-1,0,7,7,3,11,8,0,-2,0,10,8,3
1474,8,4,0,0,0,13,9,0,8,4,0,0,0,11,8,0,9,4,-1,-3,0,13,8,3,8,-1,0,-3,0,9,3,3,9,0,-1,-3,0,13,5,3,8,-1,0,-3,0,9,5,3,8,-1,-1,-3,0,13,6,3,8,3,-1,-3,0,12,5,3
1475,9,8,0,0,0,7,9,0,9,7,0,0,0,9,11,0,10,8,0,-2,0,5,7,3,11,1,0,-2,0,5,7,3,9,7,0,-3,0,5,5,3,9,3,0,-3,0,2,5,3,9,7,0,-3,0,8,6,3,9,3,0,-3,0,7,6,3
1476,11,4,2,0,0,13,7,0,12,3,2,0,0,13,7,0,10,4,2,-3,0,13,4,3,11,6,1,-3,0,8,4,3,10,3,1,-3,0,12,4,3,9,4,1,-3,0,6,1,3,11,5,1,-3,0,12,2,3,11,6,1,-3,0,11,2,3
1477,11,-3,0,0,0,16,29,0,8,5,0,0,0,3,4,0,9,3,-1,-3,0,1,1,3,11,-3,-2,-3,0,3,-2,3,11,-3,-1,-3,0,-1,-3,3,9,3,-1,-3,0,-2,-2,3,11,-3,-1,-3,0,2,-1,3,9,3,-1,-3,0,0,-1,3
1478,13,2,1,1,0,12,13,0,13,1,1,1,0,13,13,0,10,8,1,-2,0,14,12,3,12,2,0,-2,0,9,11,3,10,6,0,-2,0,11,12,3,10,7,0,-2,0,12,12,3,10,6,0,-2,0,6,8,3,10,7,0,-2,0,7,9,3
1479,10,-4,1,0,0,15,9,0,8,1,1,0,0,14,9,0,8,2,0,-3,0,12,6,3,10,-4,0,-3,0,12,7,3,10,-3,0,-3,0,12,6,3,7,0,0,-3,0,12,8,3,8,1,0,-3,0,10,4,3,8,2,0,-3,0,9,3,3
1480,10,7,0,2,0,5,2,0,11,0,0,2,0,6,3,0,12,1,0,0,0,1,-1,3,11,2,0,0,0,4,-3,3,9,5,0,-2,0,4,-3,3,9,6,0,-2,0,4,-3,3,9,5,0,-2,0,-2,-3,3,10,3,0,-2,0,1,-4,3
1481,13,2,1,1,0,14,11,0,13,3,0,1,0,12,11,0,13,6,0,-2,0,24,23,3,12,3,0,-3,0,7,4,3,11,4,0,-3,0,6,4,3,12,3,0,-3,0,7,4,3,13,4,0,-3,0,6,4,3,12,3,0,-3,0,7,4,3
1482,10,1,0,0,0,1,-1,0,9,1,0,-3,0,4,2,0,8,-4,1,-3,0,1,9,3,9,-5,0,-3,0,-1,-4,3,9,-5,0,-3,0,1,-5,3,9,-5,0,-3,0,-3,-5,3,9,-5,0,-3,0,-2,-5,3,9,-5,0,-3,0,-3,-5,3
1483,12,4,0,2,0,9,11,0,12,4,0,2,0,10,11,0,13,2,0,-1,0,11,16,3,10,2,0,-1,0,13,7,3,11,3,-1,-1,0,5,5,3,10,2,-1,-1,0,13,7,3,11,3,-1,-1,0,5,5,3,10,2,-1,-1,0,13,7,3
1484,12,11,2,1,0,5,24,0,12,3,2,-2,0,6,9,3,11,5,2,-2,0,10,18,3,12,3,2,-2,0,11,7,3,13,1,1,-2,0,7,6,3,12,3,1,-2,0,7,6,3,10,5,1,-2,0,7,6,3,11,7,1,-2,0,7,6,3
1485,15,15,1,1,0,11,11,0,11,11,2,0,0,9,9,0,11,5,2,-3,0,6,17,3,11,4,0,-3,0,4,4,3,10,5,1,-3,0,6,5,3,11,4,1,-3,0,7,6,3,14,1,1,-3,0,1,5,3,11,4,1,-3,0,4,4,3
1486,7,6,1,1,0,14,7,0,5,2,1,1,0,11,6,0,7,6,1,-2,0,12,5,3,6,0,0,-2,0,15,3,3,4,3,0,-2,0,9,2,3,7,0,0,-2,0,15,3,3,6,-1,0,-2,0,12,3,3,7,0,0,-2,0,10,3,3
1487,16,0,0,1,0,16,11,0,13,7,0,1,0,11,5,0,13,6,0,-2,0,13,8,3,16,0,-1,-2,0,10,4,3,16,0,-1,-2,0,12,4,3,14,6,-1,-2,0,12,5,3,16,0,-1,-2,0,11,4,3,14,6,-1,-2,0,10,4,3
1488,10,3,0,0,0,12,14,0,8,10,0,0,0,9,12,0,8,9,0,-3,0,9,11,3,7,8,-1,-3,0,8,9,3,11,3,-1,-3,0,7,9,3,9,10,-1,-3,0,8,10,3,8,7,-1,-3,0,10,9,3,7,8,-1,-3,0,10,9,3
1489,9,6,1,1,0,8,14,0,10,4,0,1,0,12,15,0,9,5,0,-2,0,6,11,3,8,10,0,-3,0,11,8,3,9,4,0,-3,0,3,8,3,9,4,0,-3,0,12,10,3,10,3,0,-3,0,8,7,3,9,4,0,-3,0,12,10,3
1490,9,-5,1,3,0,10,8,0,8,4,0,3,0,11,10,0,10,1,0,1,0,5,6,3,11,0,0,1,0,4,3,3,8,5,0,-1,0,4,3,3,11,-1,0,0,0,5,3,3,8,5,0,-1,0,4,3,3,11,-1,0,0,0,5,3,3
1491,11,4,0,1,0,8,11,0,9,5,0,1,0,13,8,0,11,2,0,-2,0,7,9,3,11,1,0,-2,0,10,5,3,12,1,-1,-2,0,6,5,3,11,1,-1,-2,0,4,5,3,9,5,-1,-2,0,13,7,3,10,3,-1,-2,0,4,5,3
1492,11,-2,0,1,0,15,8,0,9,5,0,1,0,13,9,0,10,6,0,-2,0,12,5,3,9,2,0,-3,0,12,2,3,10,4,0,-3,0,8,2,3,8,3,0,-3,0,9,2,3,10,4,0,-3,0,8,2,3,10,5,0,-3,0,9,2,3
1493,12,6,0,1,0,10,12,0,12,8,0,0,0,13,14,0,12,9,0,-2,0,11,11,3,12,3,0,-2,0,11,13,3,12,9,0,-2,0,8,8,3,14,2,0,-2,0,9,9,3,15,1,0,-2,0,9,9,3,13,4,0,-3,0,9,9,3
1494,14,3,0,3,0,5,10,0,13,1,0,2,0,8,8,0,14,0,0,0,0,4,7,3,12,1,0,-2,0,4,7,3,12,5,0,-2,0,3,4,3,12,1,0,-2,0,4,4,3,13,6,0,-2,0,5,6,3,12,1,0,-2,0,4,4,3
1495,13,8,0,1,0,6,5,0,13,7,0,1,0,2,3,0,14,8,0,-1,0,3,2,3,13,9,0,-1,0,3,-1,3,14,2,0,-2,0,0,0,3,13,8,0,-2,0,0,-1,3,14,2,0,-2,0,-3,0,3,13,8,0,-2,0,3,-1,3
1496,9,6,0,1,0,9,7,0,11,0,0,1,0,7,9,0,9,8,0,-1,0,9,6,3,10,7,0,-1,0,4,6,3,9,9,0,-1,0,4,6,3,10,-2,0,-2,0,8,7,3,9,3,0,-2,0,5,3,3,10,-2,0,-2,0,2,4,3
1497,9,5,-1,0,0,4,10,0,9,-1,0,-3,0,3,10,0,7,0,0,-3,0,2,7,3,7,6,0,-3,0,1,4,3,7,5,0,-3,0,0,4,3,7,4,-1,-3,0,5,3,3,7,3,-1,-3,0,1,4,3,7,4,-1,-3,0,1,4,3
1498,14,6,2,0,0,4,8,0,14,2,2,0,0,7,3,0,15,4,1,-3,0,9,6,3,15,2,0,-3,0,1,2,3,15,2,1,-3,0,6,1,3,12,6,1,-3,0,1,3,3,12,7,1,-3,0,6,1,3,13,9,1,-3,0,1,3,3
1499,7,7,0,1,0,10,10,0,7,1,0,0,0,10,6,0,8,2,0,-2,0,10,9,3,8,1,0,-2,0,8,6,3,8,3,0,-3,0,7,5,3,7,1,0,-3,0,9,4,3,8,3,0,-3,0,5,6,3,8,3,0,-3,0,11,7,3
1500,12,6,0,2,0,7,11,0,10,9,0,0,0,6,11,0,12,4,0,-1,0,9,16,3,13,3,0,-1,0,4,5,3,11,5,0,-3,0,3,5,3,10,7,0,-3,0,3,6,3,12,3,0,-2,0,8,4,3,13,2,0,-2,0,3,6,3
1501,12,4,1,2,0,2,16,0,11,5,1,2,0,-1,0,3,11,5,1,-1,0,0,1,3,13,1,1,-1,0,6,2,3,12,6,-1,-1,0,3,-3,3,11,4,0,-1,0,6,-1,3,11,4,0,-1,0,-1,-3,3,11,4,0,-1,0,3,-3,3
1502,7,12,0,1,0,5,2,0,8,4,0,1,0,6,14,0,9,3,0,-1,0,2,-2,3,7,9,0,-2,0,1,-4,3,7,9,0,-2,0,2,-1,3,10,2,0,-2,0,0,-1,3,7,7,0,-3,0,2,-1,3,10,2,0,-2,0,0,-1,3
1503,12,6,1,1,0,3,5,0,15,2,1,1,0,1,4,0,14,3,1,-2,0,2,1,3,13,5,-1,-2,0,1,-1,3,15,2,-1,-2,0,3,2,3,12,7,0,-2,0,-2,1,3,12,7,0,-2,0,-2,1,3,12,7,0,-2,0,-2,1,3
1504,12,3,0,4,0,13,13,0,13,1,0,4,0,13,10,0,12,7,0,0,0,14,10,3,11,3,0,0,0,12,7,3,10,5,0,0,0,11,7,3,13,6,0,0,0,11,6,3,12,1,0,0,0,10,6,3,9,2,0,-1,0,12,7,3
1505,8,8,0,2,0,1,4,0,10,0,0,2,0,5,14,0,9,8,0,0,0,3,2,3,9,7,0,-1,0,0,-2,3,8,8,0,-1,0,14,16,3,8,7,0,-1,0,0,-2,3,8,8,0,-1,0,2,-1,3,9,7,0,-1,0,0,-2,3
1506,11,0,0,2,0,8,12,0,10,-1,0,1,0,13,20,0,8,4,0,-2,0,11,8,3,11,0,0,-2,0,12,8,3,8,3,0,-3,0,9,5,3,7,5,0,-3,0,5,6,3,9,5,0,-3,0,9,5,3,10,1,0,-2,0,5,6,3
1507,9,6,0,0,0,-3,1,0,9,7,0,0,0,5,3,0,9,8,0,-3,0,3,1,3,10,7,0,-3,0,2,-2,3,9,2,-1,-3,0,-2,-3,3,9,6,-1,-3,0,-1,-3,3,9,7,-1,-3,0,-2,-3,3,10,-2,-1,-3,0,-1,-3,3
1508,12,6,0,2,0,5,3,0,12,1,0,2,0,3,2,0,12,6,0,0,0,2,1,3,12,5,0,-1,0,2,-3,3,12,5,0,-1,0,1,-3,3,15,-1,0,0,0,-1,-2,3,13,2,0,-1,0,-1,-3,3,12,4,0,-1,0,-2,-3,3
1509,9,6,0,1,0,3,8,0,9,7,0,1,0,5,1,3,9,8,0,-1,0,5,2,3,10,1,0,-2,0,3,-2,3,9,2,0,-2,0,5,-3,3,9,7,0,-2,0,1,-3,3,10,1,0,-2,0,2,-3,3,9,2,0,-2,0,1,-3,3
1510,8,6,0,2,0,11,11,0,8,4,0,3,0,13,5,0,11,2,0,0,0,10,3,3,8,7,0,0,0,12,6,3,8,4,0,-1,0,12,6,3,8,5,0,-1,0,12,2,3,11,-1,0,0,0,9,2,3,9,2,0,-1,0,9,2,3
1511,11,6,0,0,0,6,11,0,14,0,0,2,0,12,9,0,13,1,0,-1,0,11,8,3,13,1,0,-2,0,9,6,3,11,5,0,-3,0,6,5,3,12,7,0,-3,0,6,5,3,11,2,0,-3,0,6,5,3,12,7,0,-3,0,6,5,3
1512,11,7,1,4,0,8,11,0,10,6,1,4,0,15,12,0,11,3,0,1,0,13,7,3,11,6,0,1,0,13,9,3,13,0,0,1,0,11,7,3,10,3,0,1,0,11,6,3,9,4,0,1,0,7,7,3,11,5,0,1,0,11,6,3
1513,8,2,0,0,0,6,8,0,6,8,0,0,0,6,8,0,6,2,0,-3,0,4,7,3,6,0,0,-3,0,4,3,3,6,3,-1,-3,0,8,5,3,7,1,-2,-3,0,5,5,3,9,-2,-1,-3,0,3,5,3,9,0,-1,-3,0,7,6,3
1514,8,9,0,0,0,7,9,0,10,7,0,1,0,14,12,0,10,4,0,-1,0,11,6,3,8,8,0,-3,0,11,6,3,8,8,0,-3,0,11,6,3,8,8,0,-3,0,11,7,3,8,8,0,-3,0,9,7,3,8,8,0,-3,0,8,5,3
1515,10,3,0,3,0,4,10,0,10,3,0,3,1,30,42,0,8,4,0,-1,0,6,8,3,11,0,0,0,0,8,7,3,11,6,0,-1,0,7,5,3,10,1,0,0,0,0,5,3,7,2,0,-2,0,3,4,3,7,3,0,-2,0,5,5,3
1516,16,2,0,3,0,14,15,0,16,1,0,3,0,8,9,0,16,4,0,-1,0,9,4,3,16,1,0,-1,0,6,3,3,14,8,0,-2,0,9,4,3,13,3,0,-2,0,6,3,3,14,8,0,-2,0,9,4,3,13,3,0,-2,0,6,3,3
1517,9,13,0,1,0,12,7,0,10,9,0,1,0,15,9,0,7,9,0,-2,0,12,6,3,10,3,0,-2,0,12,7,3,7,7,0,-3,0,12,7,3,7,8,0,-3,0,9,4,3,6,6,0,-3,0,10,4,3,6,7,0,-3,0,9,4,3
1518,9,9,0,3,0,14,15,0,9,3,0,4,0,13,16,0,7,5,0,0,0,11,13,3,10,-1,0,0,0,9,10,3,6,2,0,-1,0,8,10,3,6,3,0,-1,0,9,10,3,7,3,0,-1,0,7,9,3,7,4,0,-1,0,8,9,3
1519,8,-4,0,2,0,6,11,0,11,11,0,2,0,13,11,0,7,0,0,-1,0,12,10,3,9,-4,0,-1,0,4,7,3,7,3,-1,-1,0,10,8,3,8,-4,-1,-1,0,11,8,3,8,-5,-1,-1,0,10,8,3,7,4,-1,-1,0,10,9,3
1520,9,5,0,0,0,3,12,0,9,8,0,0,0,9,12,0,12,-3,-1,-3,0,4,11,3,10,1,-1,-3,0,3,8,3,10,-1,-1,-3,0,4,8,3,10,-3,-1,-3,0,3,8,3,10,-4,-1,-3,0,7,10,3,9,0,-1,-3,0,5,10,3
1521,14,-3,0,1,0,15,8,0,12,8,0,1,0,13,3,0,14,4,0,-2,0,14,7,3,12,5,-1,-2,0,11,3,3,15,1,-1,-2,0,14,2,3,15,2,-1,-2,0,8,3,3,14,1,-1,-2,0,14,2,3,12,6,-1,-2,0,8,3,3
1522,12,2,0,2,0,17,11,0,13,-2,0,2,0,16,12,0,11,2,0,-1,0,12,9,3,10,2,-1,-1,0,14,5,3,10,2,-1,-1,0,8,6,3,10,2,-1,-1,0,14,5,3,10,2,-1,-1,0,8,6,3,10,2,-1,-1,0,14,5,3
1523,10,-1,0,1,0,15,11,0,8,11,0,2,0,17,11,0,9,4,0,-1,0,14,9,3,8,3,0,-1,0,12,5,3,9,2,0,-2,0,11,5,3,9,2,0,-2,0,11,6,3,9,2,0,-2,0,11,5,3,8,7,0,-2,0,11,6,3
1524,8,9,0,1,0,14,11,0,8,6,0,0,0,10,5,0,10,1,0,-1,0,11,7,3,11,-1,0,-2,0,11,7,3,9,2,0,-3,0,9,5,3,8,4,0,-3,0,10,4,3,10,0,0,-2,0,8,4,3,11,-1,0,-2,0,9,5,3
1525,11,7,0,1,0,4,11,0,13,6,0,3,0,11,10,0,14,3,0,0,0,5,10,3,13,2,0,0,0,4,7,3,11,7,0,-2,0,8,6,3,11,6,0,-2,0,4,7,3,12,4,0,-2,0,3,7,3,11,6,0,-2,0,11,9,3
1526,7,7,0,2,0,7,5,0,8,6,0,3,0,7,5,0,7,1,0,0,0,3,3,3,7,5,0,-1,0,1,-1,3,8,-2,0,-1,0,0,-1,3,8,0,0,-1,0,1,-1,3,7,6,0,-1,0,0,-1,3,8,0,0,-1,0,1,-1,3
1527,14,2,0,1,0,4,13,0,14,0,0,-2,0,8,0,3,13,7,0,-2,0,4,0,3,12,7,-1,-2,0,4,0,3,12,6,-1,-2,0,5,-3,3,12,2,-1,-2,0,5,-3,3,12,6,-1,-2,0,6,-1,3,12,2,-1,-2,0,8,-2,3
1528,10,9,2,3,0,13,14,0,13,0,2,3,0,13,15,0,12,0,2,0,0,9,13,3,11,5,0,0,0,11,10,3,13,0,0,0,0,6,10,3,13,-1,0,0,0,9,12,3,9,5,1,0,0,9,11,3,13,-1,1,0,0,7,11,3
1529,13,6,0,3,0,0,1,0,13,5,0,2,0,1,-4,0,12,3,0,-1,0,-2,-2,3,13,3,0,0,0,-2,-2,3,11,6,0,-2,0,0,-5,3,12,8,0,-2,0,1,-5,3,11,3,0,-2,0,1,-5,3,11,5,0,-2,0,-3,-5,3
1530,14,5,0,2,0,11,15,0,14,7,0,2,0,10,12,0,14,3,0,-1,0,8,11,3,14,2,0,-1,0,7,9,3,14,2,0,-2,0,4,8,3,15,1,0,-2,0,5,10,3,13,4,0,-3,0,4,8,3,12,6,0,-3,0,3,8,3
1531,9,6,0,2,0,16,8,0,12,-1,1,2,0,14,5,0,12,-1,0,-1,0,13,6,3,12,0,0,-1,0,13,6,3,11,-1,0,-1,0,12,3,3,12,0,0,-1,0,13,2,3,11,-1,0,-1,0,10,2,3,12,0,0,-1,0,10,2,3
1532,7,7,1,0,0,2,0,0,9,-2,1,0,0,5,2,0,7,6,1,-3,0,0,-3,3,10,-3,0,-3,0,0,-3,3,10,-2,0,-3,0,2,-4,3,7,1,0,-3,0,-2,-4,3,8,2,0,-3,0,0,-3,3,8,3,0,-3,0,-1,-3,3
1533,9,1,1,0,0,7,10,0,9,2,1,0,0,13,20,0,9,3,0,-3,0,13,8,3,9,1,-1,-3,0,5,6,3,11,-4,-1,-3,0,5,7,3,11,-3,0,-3,0,10,5,3,8,0,0,-3,0,5,7,3,9,1,0,-3,0,10,5,3
1534,10,2,1,1,0,9,8,0,8,6,0,1,0,7,8,0,11,-1,0,-2,0,5,7,3,9,4,0,-3,0,6,3,3,9,5,0,-3,0,3,4,3,9,6,0,-3,0,4,5,3,8,3,0,-3,0,4,5,3,11,0,0,-2,0,4,5,3
1535,16,7,0,4,0,10,16,0,14,8,0,2,0,10,16,0,14,7,0,0,0,10,11,3,17,3,0,0,0,7,14,3,17,3,0,0,0,5,10,3,14,9,0,-1,0,10,10,3,14,8,0,-1,0,5,10,3,16,4,0,0,0,10,10,3
1536,9,1,1,0,0,8,10,0,9,6,0,1,0,14,11,0,11,1,0,-1,0,9,4,3,10,6,0,-2,0,5,7,3,11,1,0,-1,0,5,8,3,10,6,0,-2,0,5,8,3,12,0,0,-2,0,4,4,3,9,3,0,-3,0,4,4,3
1537,7,7,0,0,0,10,8,0,7,8,0,0,0,11,8,0,7,9,0,-2,0,8,15,3,9,0,0,-2,0,5,4,3,7,3,0,-3,0,8,5,3,8,7,0,-3,0,5,4,3,7,3,0,-3,0,8,5,3,7,7,0,-3,0,5,4,3
1538,6,0,1,0,0,12,19,0,7,1,1,0,0,11,15,0,8,-3,1,-3,0,11,13,3,7,3,0,-3,0,12,10,3,6,0,0,-3,0,9,10,3,7,1,0,-3,0,7,10,3,7,2,0,-3,0,11,11,3,9,-3,0,-3,0,9,11,3
