0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
3,11,0,2,0,7,5,1,9,9,0,1,0,7,1,2,3,-1,0,0,0,0,2,2,3,7,0,0,0,4,1,2,6,-3,0,0,0,1,0,2,0,8,0,0,0,4,0,2,6,-2,0,0,0,4,-2,2,0,7,0,0,0,0,2,2
5,6,0,2,0,6,9,1,-3,6,0,0,0,1,4,2,3,-2,0,0,0,4,2,2,0,-2,0,0,0,1,1,2,-1,5,0,0,0,4,1,2,3,-4,0,0,0,4,0,2,-3,7,0,0,0,0,3,2,3,-3,0,0,0,4,-1,2
2,7,0,2,0,2,10,1,-2,-1,0,1,0,0,4,2,-4,5,0,0,0,3,-1,2,0,-4,0,0,0,-1,3,2,-6,6,0,0,0,3,2,2,0,-3,0,0,0,-1,0,2,-6,6,0,0,0,3,1,2,0,-2,0,0,0,3,-1,2
0,10,0,2,0,5,10,1,3,10,0,1,0,2,0,2,4,3,0,0,0,4,2,2,-3,8,0,0,0,0,0,2,3,-2,0,0,0,4,1,2,-3,7,0,0,0,2,0,2,3,-1,0,0,0,2,2,2,0,-1,0,0,0,4,-1,2
7,5,0,2,0,4,10,1,9,-6,0,1,0,1,3,2,1,1,0,0,0,-1,-1,2,8,-6,0,0,0,1,1,2,5,-6,0,0,0,-3,4,2,4,1,0,0,0,1,0,2,8,-8,0,0,0,-3,4,2,2,3,0,0,0,1,2,2
6,3,0,2,0,3,8,1,8,-3,0,0,0,6,-2,2,2,-1,0,0,0,2,0,2,8,-2,0,0,0,2,2,2,4,-8,0,0,0,5,0,2,4,0,0,0,0,0,3,2,7,-10,0,0,0,4,2,2,1,1,0,0,0,0,0,2
6,10,0,2,0,4,10,1,8,5,0,0,0,2,0,2,1,7,0,0,0,4,0,2,7,-1,0,0,0,0,3,2,4,-1,0,0,0,4,1,2,4,7,0,0,0,2,0,2,7,-3,0,0,0,2,2,2,1,7,0,0,0,4,-1,2
6,3,0,2,0,3,8,1,7,-9,0,0,0,4,-3,2,1,-1,0,0,0,2,0,2,7,-8,0,0,0,2,2,2,4,-8,0,0,0,4,0,2,3,-1,0,0,0,0,3,2,7,-10,0,0,0,4,0,2,1,1,0,0,0,0,3,2
6,10,0,2,0,5,10,1,10,8,0,1,0,-2,2,2,4,10,0,1,0,0,-1,2,8,5,0,0,0,2,1,2,4,-1,0,0,0,-2,4,2,4,7,0,0,0,2,0,2,7,-3,0,0,0,-2,4,2,1,8,0,0,0,2,3,2
4,10,0,2,0,5,8,1,10,9,0,1,0,6,2,2,5,5,0,0,0,0,4,2,4,7,0,0,0,4,2,2,7,-3,0,0,0,2,1,2,1,7,0,0,0,2,3,2,7,-1,0,0,0,4,0,2,1,7,0,0,0,0,4,2
6,11,0,2,0,3,11,1,10,10,0,1,0,2,-1,2,2,7,0,0,0,4,0,2,7,0,0,0,0,0,4,2,4,0,0,0,0,4,3,2,4,8,0,0,0,1,2,2,7,-2,0,0,0,4,2,2,1,8,0,0,0,2,1,2
9,3,0,2,0,3,8,1,7,-9,0,1,0,4,1,2,0,1,0,0,0,4,-1,2,7,-8,0,0,0,0,3,2,1,0,0,0,0,5,0,2,7,-7,0,0,0,0,3,2,1,0,0,0,0,4,2,2,7,-7,0,0,0,0,0,2
9,0,0,2,0,3,8,1,4,-9,0,1,0,4,-2,2,3,-2,0,0,0,0,0,2,7,-11,0,0,0,4,1,2,1,-1,0,0,0,4,0,2,7,-10,0,0,0,0,3,2,0,-2,0,0,0,5,0,2,7,-9,0,0,0,0,3,2
6,5,0,2,0,7,7,1,8,0,0,0,0,6,2,2,2,1,0,0,0,0,4,2,7,-6,0,0,0,4,0,2,4,-6,0,0,0,0,4,2,4,2,0,0,0,4,2,2,7,-8,0,0,0,2,1,2,1,2,0,0,0,2,3,2
4,6,0,2,0,7,5,1,8,0,0,0,0,2,6,2,4,-6,0,0,0,0,2,2,3,1,0,0,0,4,1,2,7,-8,0,0,0,1,0,2,1,2,0,0,0,4,0,2,7,-7,0,0,0,4,-2,2,1,2,0,0,0,0,2,2
-3,11,0,2,0,3,10,1,-6,8,0,0,0,1,3,2,0,-1,0,0,0,5,0,2,-6,7,0,0,0,0,3,2,0,0,0,0,0,4,2,2,-6,7,0,0,0,1,1,2,0,0,0,0,0,4,1,2,0,-2,0,0,0,4,-1,2
6,10,0,2,0,2,8,1,10,9,0,1,0,5,-2,2,1,7,0,0,0,1,0,2,7,-1,0,0,0,1,2,2,4,-1,0,0,0,3,-1,2,3,6,0,0,0,-1,3,2,7,-3,0,0,0,3,-1,2,1,6,0,0,0,-1,3,2
6,10,0,2,0,4,8,1,10,9,0,1,0,4,2,2,1,7,0,0,0,-2,4,2,7,-1,0,0,0,3,1,2,4,-1,0,0,0,-2,4,2,4,7,0,0,0,2,3,2,7,-3,0,0,0,-1,2,2,1,7,0,0,0,2,2,2
9,8,0,2,0,3,9,1,1,-2,0,0,0,1,3,2,0,5,0,0,0,-2,2,2,4,-4,0,0,0,0,0,2,-2,5,0,0,0,-4,3,2,4,-2,0,0,0,0,0,2,-3,5,0,0,0,-4,3,2,4,-2,0,0,0,0,1,2
8,2,0,2,0,5,8,1,7,-4,0,0,0,4,3,2,0,1,0,0,0,1,2,2,6,-9,0,0,0,4,2,2,-1,-1,0,0,0,2,2,2,6,-8,0,0,0,2,3,2,3,-8,0,0,0,4,0,2,2,-1,0,0,0,0,4,2
6,3,0,2,0,3,8,1,10,1,0,1,0,5,2,2,4,3,0,1,0,4,-1,2,10,2,0,1,0,0,3,2,5,-2,0,0,0,4,-1,2,4,0,0,0,0,0,3,2,7,-10,0,0,0,4,2,2,1,1,0,0,0,0,0,2
6,3,0,2,0,4,10,1,8,-2,0,0,0,0,3,2,2,-1,0,0,0,4,-1,2,7,-8,0,0,0,0,2,2,4,-8,0,0,0,0,3,2,4,0,0,0,0,2,0,2,7,-10,0,0,0,-2,4,2,1,0,0,0,0,2,3,2
5,11,0,2,0,3,9,1,9,10,0,1,0,6,-1,2,1,7,0,0,0,4,1,2,6,0,0,0,0,0,4,2,3,0,0,0,0,4,0,2,3,8,0,0,0,0,4,2,6,-2,0,0,0,4,3,2,0,8,0,0,0,0,1,2
2,7,0,2,0,5,9,1,-5,6,0,0,0,0,2,2,0,-1,0,0,0,2,-3,2,-6,6,0,0,0,0,0,2,0,-1,0,0,0,0,2,2,0,-3,0,0,0,2,-1,2,-7,7,0,0,0,-2,3,2,0,-2,0,0,0,2,2,2
6,11,0,2,0,5,9,1,10,10,0,1,0,1,3,2,1,8,0,0,0,2,1,2,7,0,0,0,0,0,1,2,4,0,0,0,0,0,2,2,3,7,0,0,0,3,0,2,7,-2,0,0,0,-2,3,2,1,7,0,0,0,2,2,2
8,2,0,2,0,7,6,1,9,0,0,1,0,4,0,2,1,0,0,0,0,0,-1,2,6,-9,0,0,0,4,-2,2,0,0,0,0,0,0,1,2,6,-8,0,0,0,4,1,2,3,-8,0,0,0,4,-1,2,3,0,0,0,0,0,3,2
0,8,0,2,0,4,8,1,-3,10,0,1,0,6,1,2,0,-1,0,0,0,4,1,2,-6,7,0,0,0,3,2,2,0,-1,0,0,0,5,-1,2,-3,-1,0,0,0,1,3,2,-3,7,0,0,0,5,-1,2,0,-3,0,0,0,1,3,2
2,7,0,2,0,3,10,1,-3,10,0,1,0,1,3,2,1,5,0,0,0,-1,-1,2,-3,-1,0,0,0,1,0,2,-3,7,0,0,0,-3,4,2,0,-3,0,0,0,1,0,2,-6,8,0,0,0,-3,4,2,0,-2,0,0,0,1,2,2
8,2,0,2,0,4,12,1,9,0,0,1,0,3,0,2,0,0,0,0,0,5,2,2,6,-8,0,0,0,1,1,2,0,0,0,0,0,5,4,2,6,-8,0,0,0,1,2,2,3,-8,0,0,0,5,3,2,3,0,0,0,0,3,2,2
6,11,0,2,0,2,10,1,8,5,0,0,0,0,3,2,2,7,0,0,0,3,0,2,8,6,0,0,0,-1,3,2,5,6,0,0,0,3,2,2,4,8,0,0,0,0,1,2,7,-2,0,0,0,3,1,2,1,9,0,0,0,3,-1,2
5,3,0,2,0,4,8,1,9,2,0,1,0,3,-2,2,0,0,0,0,0,5,-1,2,6,-8,0,0,0,1,3,2,3,-8,0,0,0,5,-1,2,3,0,0,0,0,1,3,2,6,-10,0,0,0,5,2,2,0,0,0,0,0,1,0,2
4,11,0,2,0,7,6,1,8,5,0,0,0,6,1,2,1,7,0,0,0,0,-1,2,7,-1,0,0,0,4,2,2,7,-3,0,0,0,0,0,2,1,8,0,0,0,4,1,2,7,-2,0,0,0,4,-1,2,1,7,0,0,0,0,3,2
2,6,0,2,0,4,8,1,-5,5,0,0,0,0,1,2,1,4,0,0,0,0,3,2,-2,4,0,0,0,3,1,2,-3,6,0,0,0,-2,4,2,0,-4,0,0,0,2,3,2,-6,6,0,0,0,-2,1,2,0,-2,0,0,0,2,2,2
4,11,0,2,0,4,10,1,10,9,0,1,0,0,3,2,2,11,0,1,0,2,2,2,7,-1,0,0,0,2,0,2,7,-3,0,0,0,-2,4,2,0,7,0,0,0,2,0,2,7,-2,0,0,0,-2,4,2,1,6,0,0,0,2,3,2
6,8,0,2,0,3,10,1,4,8,0,1,0,1,4,2,2,5,0,0,0,4,-1,2,4,-4,0,0,0,0,3,2,-2,6,0,0,0,4,2,2,4,-2,0,0,0,1,1,2,-2,6,0,0,0,4,1,2,4,-2,0,0,0,4,-1,2
8,2,0,2,0,5,7,1,9,1,0,1,0,6,1,2,1,-1,0,0,0,0,3,2,7,-2,0,0,0,4,1,2,0,0,0,0,0,3,1,2,6,-8,0,0,0,2,2,2,6,-10,0,0,0,4,0,2,0,1,0,0,0,0,3,2
9,9,0,2,0,7,7,1,8,4,0,0,0,6,1,2,1,7,0,0,0,0,-1,2,7,-1,0,0,0,4,-1,2,1,6,0,0,0,0,3,2,7,-1,0,0,0,4,2,2,7,-3,0,0,0,0,0,2,0,7,0,0,0,4,1,2
5,11,0,2,0,5,8,1,6,0,0,0,0,6,0,2,-1,7,0,0,0,2,3,2,6,0,0,0,0,4,-2,2,3,0,0,0,0,2,1,2,2,7,0,0,0,2,3,2,6,-2,0,0,0,4,0,2,0,8,0,0,0,0,4,2
5,6,0,2,14,105,150,7,-2,5,0,0,0,0,-1,2,3,-2,0,0,0,4,-2,2,0,-2,0,0,0,0,0,2,-1,5,0,0,0,4,1,2,3,-4,0,0,0,4,-1,2,-3,5,0,0,0,0,3,2,3,-2,0,0,0,4,-1,2
6,10,0,2,0,5,8,1,8,5,0,0,0,8,-1,2,2,6,0,0,0,2,0,2,7,-1,0,0,0,6,1,2,4,-1,0,0,0,6,-1,2,4,7,0,0,0,2,3,2,7,-3,0,0,0,6,-1,2,1,7,0,0,0,2,3,2
4,11,0,2,0,3,10,1,10,9,0,1,0,2,-2,2,4,-1,0,0,0,4,-1,2,4,7,0,0,0,0,3,2,7,-3,0,0,0,4,2,2,1,8,0,0,0,1,1,2,7,-2,0,0,0,4,1,2,1,7,0,0,0,2,0,2
2,7,0,2,0,3,10,1,-3,10,0,1,0,0,-1,2,1,5,0,0,0,4,0,2,-5,6,0,0,0,0,3,2,1,5,0,0,0,4,2,2,0,-3,0,0,0,0,0,2,-6,8,0,0,0,4,1,2,0,-2,0,0,0,4,-1,2
8,7,0,2,0,5,9,1,7,1,0,0,0,-2,1,2,1,5,0,0,0,2,-3,2,6,-4,0,0,0,0,1,2,0,5,0,0,0,0,2,2,6,-3,0,0,0,2,-1,2,3,-3,0,0,0,-2,3,2,3,5,0,0,0,2,2,2
6,8,0,2,0,7,6,1,1,-2,0,1,0,4,-1,2,1,5,0,0,0,0,3,2,4,-4,0,0,0,4,2,2,-2,5,0,0,0,0,0,2,4,-2,0,0,0,4,1,2,-3,5,0,0,0,2,0,2,4,-2,0,0,0,2,2,2
0,10,0,2,0,4,10,1,-3,11,0,1,0,-1,3,2,1,6,0,0,0,-1,-1,2,-6,8,0,0,0,1,0,2,0,0,0,0,0,-3,4,2,-3,0,0,0,0,1,0,2,-3,8,0,0,0,-3,4,2,0,-2,0,0,0,1,3,2
9,2,0,2,0,3,8,1,5,-2,0,0,0,3,3,2,4,0,0,0,0,7,2,2,7,-10,0,0,0,1,3,2,1,0,0,0,0,4,0,2,7,-8,0,0,0,0,3,2,1,0,0,0,0,4,1,2,7,-8,0,0,0,2,0,2
6,6,0,2,0,5,8,1,-1,5,0,0,0,3,-2,2,5,4,0,0,0,0,2,2,2,4,0,0,0,4,2,2,1,6,0,0,0,2,1,2,4,-4,0,0,0,2,3,2,-2,6,0,0,0,4,0,2,4,-2,0,0,0,0,4,2
6,6,0,2,0,0,10,1,4,7,0,1,0,0,3,2,1,5,0,0,0,1,-1,2,4,-5,0,0,0,-3,3,2,-2,6,0,0,0,1,2,2,4,-4,0,0,0,-3,0,2,-2,5,0,0,0,1,1,2,4,-3,0,0,0,-1,0,2
6,10,0,2,0,3,8,1,8,4,0,0,0,4,2,2,2,6,0,0,0,0,0,2,7,-1,0,0,0,4,1,2,4,-1,0,0,0,4,0,2,4,7,0,0,0,0,3,2,7,-3,0,0,0,4,-1,2,1,8,0,0,0,0,3,2
0,8,0,2,0,4,9,1,-5,6,0,0,0,-3,-1,2,0,-1,0,0,0,1,1,2,-6,7,0,0,0,-1,0,2,0,-1,0,0,0,-1,2,2,-3,-1,0,0,0,1,-1,2,-3,7,0,0,0,-3,3,2,0,-3,0,0,0,1,-1,2
0,9,0,2,0,3,10,1,-3,11,0,1,0,2,0,2,0,0,0,0,0,6,1,2,-6,8,0,0,0,0,-1,2,0,0,0,0,0,4,2,2,-3,0,0,0,0,0,0,2,-3,8,0,0,0,4,1,2,0,-2,0,0,0,4,-1,2
0,8,0,2,0,5,9,1,-5,9,0,1,0,0,1,2,0,-1,0,0,0,0,2,2,-7,6,0,0,0,2,-1,2,0,-1,0,0,0,-2,3,2,-3,-1,0,0,0,2,-1,2,-4,6,0,0,0,-2,3,2,0,-3,0,0,0,2,1,2
2,7,0,2,0,3,8,1,-5,11,0,1,0,6,-2,2,0,-1,0,0,0,4,-1,2,-3,-1,0,0,0,0,3,2,-4,6,0,0,0,5,0,2,0,-3,0,0,0,0,3,2,-6,8,0,0,0,4,2,2,0,-2,0,0,0,1,1,2
2,6,0,2,0,2,10,1,-3,9,0,1,0,-2,3,2,0,-2,0,0,0,0,-2,2,-3,-2,0,0,0,-2,1,2,-4,5,0,0,0,-2,3,2,0,-4,0,0,0,0,0,2,-6,5,0,0,0,-4,4,2,0,-2,0,0,0,0,3,2
5,11,0,2,0,5,6,1,9,10,0,1,0,5,0,2,0,8,0,0,0,1,2,2,6,0,0,0,0,4,0,2,3,0,0,0,0,3,0,2,2,7,0,0,0,2,1,2,6,-2,0,0,0,4,-1,2,0,7,0,0,0,0,2,2
-3,11,0,2,0,5,10,1,-2,10,0,1,0,0,3,2,0,-2,0,0,0,0,-1,2,-7,7,0,0,0,2,0,2,0,0,0,0,0,-2,4,2,-7,7,0,0,0,2,0,2,0,0,0,0,0,-2,4,2,-3,0,0,0,0,2,3,2
4,11,0,2,0,6,9,1,8,0,0,1,0,0,-1,2,4,-1,0,0,0,4,-2,2,3,6,0,0,0,0,0,2,7,-3,0,0,0,4,1,2,1,7,0,0,0,4,-1,2,7,-2,0,0,0,0,3,2,1,7,0,0,0,4,-1,2
6,11,0,2,0,5,8,1,8,5,0,0,0,3,4,2,1,8,0,0,0,0,3,2,7,0,0,0,0,3,1,2,4,0,0,0,0,-2,4,2,3,7,0,0,0,2,3,2,7,-2,0,0,0,-2,1,2,1,8,0,0,0,2,2,2
0,11,0,2,0,5,10,1,4,6,0,0,0,-2,4,2,3,-2,0,0,0,2,2,2,-4,8,0,0,0,1,2,2,3,-1,0,0,0,0,3,2,-3,7,0,0,0,2,0,2,3,0,0,0,0,-2,4,2,-3,7,0,0,0,2,0,2
9,2,0,2,0,3,8,1,8,-3,0,0,0,6,-1,2,1,0,0,0,0,2,2,2,7,-8,0,0,0,2,-2,2,1,-1,0,0,0,4,-1,2,7,-8,0,0,0,0,3,2,7,-10,0,0,0,4,-1,2,0,0,0,0,0,0,3,2
6,10,0,2,0,5,10,1,8,4,0,0,0,0,1,2,2,6,0,0,0,2,2,2,7,-1,0,0,0,1,2,2,4,-1,0,0,0,0,3,2,4,7,0,0,0,2,0,2,7,-3,0,0,0,-2,4,2,1,8,0,0,0,2,0,2
6,10,0,2,0,7,5,1,7,-1,0,0,0,6,0,2,0,6,0,0,0,0,2,2,7,-1,0,0,0,4,1,2,4,-1,0,0,0,1,0,2,3,6,0,0,0,4,0,2,7,-3,0,0,0,2,0,2,1,7,0,0,0,2,1,2
5,11,0,2,0,5,9,1,9,10,0,1,0,-1,4,2,0,8,0,0,0,2,2,2,6,0,0,0,0,-1,1,2,3,0,0,0,0,2,1,2,3,8,0,0,0,2,-1,2,6,-2,0,0,0,-2,3,2,0,8,0,0,0,2,-1,2
0,9,0,2,0,8,7,1,-5,7,0,0,0,5,1,2,0,0,0,0,0,1,4,2,-6,7,0,0,0,5,3,2,0,0,0,0,0,2,2,2,-3,0,0,0,0,5,2,2,-4,7,0,0,0,3,1,2,0,-2,0,0,0,3,3,2
9,2,0,2,0,3,10,1,10,0,0,1,0,2,0,2,2,4,0,1,0,4,0,2,7,-8,0,0,0,0,3,2,0,-1,0,0,0,4,2,2,7,-8,0,0,0,0,0,2,4,-8,0,0,0,4,1,2,3,-1,0,0,0,4,-1,2
-3,11,0,2,0,4,10,1,-3,12,0,1,0,-1,3,2,0,-1,0,0,0,3,-1,2,-6,8,0,0,0,-1,2,2,0,0,0,0,0,-1,3,2,-6,8,0,0,0,1,0,2,0,0,0,0,0,-3,4,2,0,-2,0,0,0,1,3,2
9,7,0,2,0,7,8,1,10,5,0,1,0,6,2,2,2,5,0,0,0,2,1,2,7,-4,0,0,0,4,1,2,1,5,0,0,0,0,4,2,7,-3,0,0,0,4,3,2,1,5,0,0,0,0,1,2,7,-3,0,0,0,4,2,2
8,10,0,2,0,6,8,1,9,8,0,1,0,6,2,2,1,8,0,0,0,0,4,2,6,-1,0,0,0,4,0,2,0,8,0,0,0,0,4,2,6,0,0,0,0,4,3,2,0,8,0,0,0,0,1,2,6,0,0,0,0,4,2,2
0,9,0,2,0,5,10,1,-3,10,0,1,0,1,4,2,0,-1,0,0,0,2,2,2,-6,7,0,0,0,2,1,2,0,-1,0,0,0,-2,4,2,-3,-1,0,0,0,2,0,2,-3,7,0,0,0,-2,4,2,0,-3,0,0,0,2,3,2
4,4,0,2,0,4,11,1,8,-2,0,0,0,3,5,2,2,-1,0,0,0,0,4,2,8,-2,0,0,0,2,2,2,7,-10,0,0,0,-2,5,2,1,1,0,0,0,2,1,2,7,-9,0,0,0,-2,5,2,1,0,0,0,0,2,3,2
2,6,0,2,0,3,8,1,-3,9,0,1,0,2,-2,2,1,4,0,0,0,4,0,2,-3,-2,0,0,0,0,-1,2,-3,6,0,0,0,4,-1,2,0,-4,0,0,0,0,3,2,-6,6,0,0,0,4,1,2,0,-2,0,0,0,2,0,2
8,6,0,2,0,3,8,1,1,4,0,0,0,6,-2,2,7,3,0,0,0,4,2,2,7,1,0,0,0,2,2,2,0,6,0,0,0,4,-1,2,6,-4,0,0,0,0,3,2,0,5,0,0,0,4,2,2,6,-3,0,0,0,0,0,2
6,10,0,2,0,4,8,1,8,0,0,1,0,7,-2,2,1,7,0,0,0,5,2,2,7,-1,0,0,0,3,-2,2,4,-1,0,0,0,5,-1,2,4,7,0,0,0,1,3,2,7,-3,0,0,0,5,-1,2,1,7,0,0,0,1,3,2
6,5,0,2,0,6,9,1,1,8,0,1,0,2,0,2,4,-3,0,0,0,4,-2,2,1,-3,0,0,0,0,0,2,0,4,0,0,0,4,1,2,4,-5,0,0,0,4,-1,2,-2,5,0,0,0,0,3,2,4,-3,0,0,0,4,-1,2
6,8,0,2,0,5,6,1,5,2,0,0,0,6,-2,2,-2,7,0,0,0,0,-1,2,4,-3,0,0,0,4,0,2,-2,6,0,0,0,2,0,2,4,-2,0,0,0,2,1,2,-2,6,0,0,0,5,-1,2,4,-2,0,0,0,0,2,2
8,1,0,2,0,5,9,1,3,-8,0,0,0,-1,-1,2,2,-1,0,0,0,3,2,2,6,-10,0,0,0,0,1,2,0,0,0,0,0,3,1,2,6,-9,0,0,0,3,0,2,-1,-1,0,0,0,-1,3,2,6,-8,0,0,0,3,-1,2
4,4,0,2,0,2,10,1,10,2,0,1,0,-1,-1,2,5,-2,0,0,0,3,0,2,4,0,0,0,0,-1,-1,2,7,-10,0,0,0,3,2,2,1,1,0,0,0,-1,0,2,7,-9,0,0,0,3,1,2,1,0,0,0,0,3,-1,2
2,6,0,2,0,3,9,1,-5,8,0,1,0,6,-1,2,0,-2,0,0,0,2,2,2,-3,-2,0,0,0,2,3,2,-4,5,0,0,0,4,0,2,0,-4,0,0,0,0,4,2,-6,6,0,0,0,4,0,2,0,-3,0,0,0,0,4,2
6,10,0,2,0,5,8,1,10,9,0,1,0,4,-2,2,1,7,0,0,0,6,0,2,7,-1,0,0,0,2,3,2,4,-1,0,0,0,6,-1,2,4,7,0,0,3,53,95,1,7,-3,0,0,0,6,-2,2,1,7,0,0,0,2,0,2
8,2,0,2,0,5,6,1,9,0,0,1,0,4,-3,2,1,-1,0,0,0,0,-1,2,6,-8,0,0,0,4,0,2,0,0,0,0,0,2,-1,2,6,-8,0,0,0,2,1,2,3,-8,0,0,0,4,-2,2,3,0,0,0,0,0,2,2
2,7,0,2,0,7,6,1,-5,6,0,0,0,6,1,2,0,-1,0,0,0,0,-1,2,-3,-1,0,0,0,4,2,2,-3,7,0,0,0,0,0,2,0,-3,0,0,0,4,1,2,-6,7,0,0,0,4,-1,2,0,-1,0,0,0,0,3,2
6,3,0,2,0,3,8,1,10,2,0,1,0,6,-1,2,1,0,0,0,0,0,0,2,7,-8,0,0,0,4,1,2,4,-8,0,0,0,4,-1,2,4,0,0,0,0,0,3,2,7,-10,0,0,0,4,-1,2,1,0,0,0,0,0,3,2
6,6,0,2,0,3,9,1,1,9,0,1,0,2,-1,2,4,-2,0,0,0,4,1,2,1,-2,0,0,0,0,0,2,0,5,0,0,0,4,0,2,4,-4,0,0,0,0,4,2,-2,5,0,0,0,4,3,2,4,-2,0,0,0,0,1,2
9,8,0,2,0,3,10,1,7,-4,0,0,0,1,4,2,0,6,0,0,0,4,-1,2,7,-3,0,0,0,0,3,2,0,5,0,0,0,4,2,2,7,-2,0,0,0,0,0,2,4,-2,0,0,0,4,1,2,4,6,0,0,0,4,-1,2
2,7,0,2,0,3,9,1,-5,10,0,1,0,5,3,2,1,-1,0,1,0,2,1,2,0,-4,0,0,0,2,3,2,-6,7,0,0,0,4,0,2,0,-3,0,0,0,0,4,2,-6,6,0,0,0,4,0,2,0,-2,0,0,0,0,4,2
6,11,0,2,0,3,9,1,8,6,0,0,0,6,-1,2,2,7,0,0,0,6,2,2,8,6,0,0,0,2,1,2,5,6,0,0,0,4,1,2,4,8,0,0,0,0,4,2,7,-2,0,0,0,4,3,2,1,8,0,0,0,0,1,2
4,4,0,2,0,4,9,1,10,2,0,1,0,0,0,2,2,-1,0,0,0,2,-2,2,8,-2,0,0,0,-2,0,2,7,-10,0,0,0,2,1,2,1,1,0,0,0,2,-1,2,7,-9,0,0,0,-2,3,2,1,0,0,0,0,2,-1,2
6,6,0,2,0,5,8,1,1,9,0,1,0,4,2,2,4,-2,0,0,0,-2,4,2,1,-2,0,0,0,3,1,2,1,6,0,0,0,-2,4,2,4,-4,0,0,0,2,3,2,-2,6,0,0,0,-2,1,2,4,-2,0,0,0,2,2,2
-3,11,0,2,0,7,6,1,0,11,0,1,0,6,1,2,0,-2,0,0,0,0,-1,2,-6,8,0,0,0,4,2,2,0,0,0,0,0,0,0,2,-6,8,0,0,0,4,1,2,0,0,0,0,0,2,0,2,-3,0,0,0,0,2,2,2
5,11,0,2,0,3,10,1,9,10,0,1,0,1,0,2,0,8,0,0,0,3,0,2,6,0,0,0,0,-1,3,2,3,0,0,0,0,3,1,2,2,7,0,0,0,1,0,2,6,-2,0,0,0,1,2,2,0,7,0,0,0,3,-1,2
0,9,0,2,0,7,6,1,-5,9,0,1,0,5,1,2,0,-1,0,0,0,0,3,2,-7,6,0,0,0,4,2,2,0,-1,0,0,0,1,1,2,-3,-1,0,0,0,4,1,2,-4,6,0,0,0,2,0,2,0,-3,0,0,0,2,2,2
8,10,0,2,0,6,8,1,9,8,0,1,0,5,3,2,0,9,0,0,0,1,2,2,6,-1,0,0,0,5,2,2,0,7,0,0,0,3,2,2,6,0,0,0,0,3,3,2,0,7,0,0,0,5,0,2,6,0,0,0,0,1,4,2
6,5,0,2,0,5,8,1,-1,4,0,0,0,4,2,2,5,3,0,0,0,-2,4,2,2,3,0,0,0,2,0,2,2,4,0,0,0,-2,4,2,4,-5,0,0,0,2,3,2,-2,5,0,0,0,-2,1,2,4,-3,0,0,0,2,2,2
2,6,0,2,0,4,8,1,-3,9,0,1,0,4,2,2,3,8,0,1,0,-2,0,2,-3,-2,0,0,0,2,0,2,-3,6,0,0,0,-2,4,2,0,-4,0,0,0,2,3,2,-6,7,0,0,0,-2,1,2,0,-3,0,0,0,2,2,2
6,11,0,2,0,3,8,1,8,1,0,1,0,6,-1,2,1,8,0,0,0,0,1,2,7,0,0,0,0,2,-2,2,4,0,0,0,0,4,0,2,4,8,0,0,0,0,3,2,7,-2,0,0,0,4,-1,2,1,8,0,0,0,0,3,2
9,2,0,2,0,3,10,1,8,-3,0,0,0,2,0,2,1,0,0,0,0,4,-1,2,7,-8,0,0,0,0,3,2,0,-1,0,0,0,4,2,2,7,-8,0,0,0,1,1,2,4,-8,0,0,0,4,1,2,3,-1,0,0,0,4,-1,2
6,10,0,2,0,6,9,1,10,8,0,1,0,1,0,2,2,11,0,1,0,3,-2,2,7,-1,0,0,0,-1,0,2,4,-1,0,0,0,3,1,2,4,7,0,0,0,3,-1,2,7,-3,0,0,0,-1,3,2,1,8,0,0,0,3,-1,2
0,10,0,2,0,3,9,1,-5,12,0,1,0,6,-1,2,0,0,0,0,0,4,0,2,-7,7,0,0,0,0,4,2,0,0,0,0,0,4,0,2,-3,0,0,0,0,0,4,2,-4,7,0,0,0,4,3,2,0,-2,0,0,0,0,1,2
-3,10,0,2,0,7,8,1,-2,6,0,0,0,6,3,2,1,4,0,0,0,0,1,2,-5,6,0,0,0,4,1,2,0,-1,0,0,0,0,5,2,-6,7,0,0,0,4,3,2,0,-1,0,0,0,2,2,2,-3,-1,0,0,0,2,4,2
9,3,0,2,0,5,10,1,8,-2,0,0,0,2,3,2,1,1,0,0,0,0,3,2,7,-7,0,0,0,2,1,2,1,1,0,0,0,-2,4,2,7,-7,0,0,0,2,1,2,7,-9,0,0,0,-2,4,2,1,2,0,0,0,2,2,2
4,4,0,2,0,3,8,1,7,-8,0,0,0,4,2,2,0,-1,0,0,0,1,1,2,7,-8,0,0,0,4,1,2,7,-10,0,0,0,4,0,2,0,0,0,0,0,0,3,2,7,-9,0,0,0,5,0,2,1,0,0,0,0,0,3,2
8,6,0,2,0,3,7,1,4,-2,0,1,0,6,-3,2,3,5,0,0,0,6,0,2,6,-5,0,0,0,0,-2,2,0,5,0,0,0,4,-2,2,6,-4,0,0,0,0,2,2,-1,4,0,0,0,4,1,2,6,-3,0,0,0,0,-1,2
0,10,0,2,0,5,9,1,-6,9,0,0,0,0,3,2,0,-1,0,0,0,4,2,2,-6,7,0,0,0,0,1,2,0,0,0,0,0,3,1,2,-3,0,0,0,0,3,0,2,-4,7,0,0,0,-1,3,2,0,-2,0,0,0,3,-1,2
